notice_year,item_std_code,company,product_name,rep_code,atc_code,rx_otc
2024,200703316,금청약품(주),파이브로베인주3%바이알(테트라데실황산나트륨콘센트레이트),8806849000308,C05BB04,전문
2024,200606843,금청약품(주),파이브로베인주3%(테트라데실황산나트륨콘센트레이트),8806849000209,C05BB04,전문
2024,202001913,대원제약(주),뉴베인액(트록세루틴),8806718070500,C05CA04,일반
2024,200907902,조아제약(주),엘라스에이액(트록세루틴),8806446023502,C05CA04,일반
2024,200403500,한림제약(주),엔테론정150밀리그램(포도씨건조엑스),8806453012100,C05CX,전문
2024,200302297,한림제약(주),엔테론정50밀리그램(포도씨건조엑스),8806453012001,C05CX,전문
2024,201600356,(주)한국팜비오,메디아벤엘정(나프타존),8806599010701,C05CX02,전문
2024,201701155,(주)한국파비스제약,베노스타신캡슐(서양칠엽수종자50%에탄올건조엑스(4.5∼5.5→1)·덱스트린혼합물(100:10)),8806218033302,C05CX03,일반
2024,201506664,한미약품(주),헤만지올액(프로프라놀롤염산염),8806435074003,C07AA05,전문
2024,198100091,한올바이오파마(주),테프라정40밀리그램(프로프라놀롤염산염),8806556018009,C07AA05,전문
2024,197400040,동광제약(주),인데놀정10mg(프로프라놀롤염산염),8806459024701,C07AA05,전문
2024,197600046,동광제약(주),인데놀정40mg(프로프라놀롤염산염),8806459024800,C07AA05,전문
2024,200204308,(주)휴온스생명과학,소타론정(소타롤염산염),8800527003308,C07AA07,전문
2024,201604248,주식회사큐엘파마,나도가드정40밀리그램(나도롤),8806734002004,C07AA12,전문
2024,198902563,한국오츠카제약(주),미케란정(카르테올롤염산염),8806499001007,C07AA15,전문
2024,198100126,(주)유한양행,베타록정(메토프롤롤타르타르산염),8806421006100,C07AB02,전문
2024,198600903,부광약품(주),부광켈론정(베탁솔롤염산염),8806422010205,C07AB05,전문
2024,199101531,부광약품(주),부광켈론정10밀리그램(베탁솔롤염산염),8806422010304,C07AB05,전문
2024,199400946,진양제약(주),베탁정(베탁솔롤염산염),8806503006509,C07AB05,전문
2024,201702794,제일약품(주),제일브레비블록주2.5그램(에스몰롤염산염)(바이알),8806454050002,C07AB09,전문
2024,199100558,제일약품(주),제일브레비블록주100밀리그램(에스몰롤염산염),8806454011904,C07AB09,전문
2024,200600221,안국약품(주),레보테놀정25밀리그람(에스아테놀롤),8806502003905,C07AB11,전문
2024,200600225,안국약품(주),레보테놀정12.5밀리그람(에스아테놀롤),8806502003806,C07AB11,전문
2024,201908132,삼일제약(주),알잘정10밀리그램(아로티놀롤염산염),8806439037608,C07AG,전문
2024,198901206,에이치케이이노엔(주),알말정5밀리그램(아로티놀롤염산염),8806400028604,C07AG,전문
2024,198901207,에이치케이이노엔(주),알말정10밀리그램(아로티놀롤염산염),8806400028703,C07AG,전문
2024,201908003,삼일제약(주),알잘정5밀리그램(아로티놀롤염산염),8806439037509,C07AG,전문
2024,199702371,하나제약(주),베타신주사(라베타롤염산염),8806578009009,C07AG01,전문
2024,199302795,명문제약(주),라베신주사20밀리그람(라베탈롤염산염),8806498003507,C07AG01,전문
2024,199202474,명문제약(주),라베신주사(라베탈롤염산염),8806498003408,C07AG01,전문
2024,201404423,한미약품(주),카르베롤서방캡슐64밀리그램(카르베딜롤),8806435069702,C07AG02,전문
2024,201404424,한미약품(주),카르베롤서방캡슐8밀리그램(카르베딜롤),8806435069801,C07AG02,전문
2024,201404425,한미약품(주),카르베롤서방캡슐16밀리그램(카르베딜롤),8806435069900,C07AG02,전문
2024,201404426,한미약품(주),카르베롤서방캡슐32밀리그램(카르베딜롤),8806435070005,C07AG02,전문
2024,202002673,(주)종근당,딜라트렌에스알정8밀리그램(카르베딜롤),8806433085308,C07AG02,전문
2024,202002674,(주)종근당,딜라트렌에스알정16밀리그램(카르베딜롤),8806433085407,C07AG02,전문
2024,201206934,(주)종근당,딜라트렌에스알캡슐8밀리그램(카르베딜롤),8806433064006,C07AG02,전문
2024,201206935,(주)종근당,딜라트렌에스알캡슐16밀리그램(카르베딜롤),8806433064105,C07AG02,전문
2024,201206936,(주)종근당,딜라트렌에스알캡슐32밀리그램(카르베딜롤),8806433064204,C07AG02,전문
2024,200307807,한국노바티스(주),마이폴틱장용정180밀리그램(미코페놀레이트나트륨),8806536004008,L04AA06,전문
2024,201606254,(주)종근당,마이렙틱엔장용정180밀리그램(미코페놀레이트나트륨),8806433076009,L04AA06,전문
