ingredient,product_name,indication,report_type,report_date,era
베미파린나트륨,자이버주2500IUAntiXa/0.2mL(베미파린나트륨),용액주사제,공급중단,2026-02-10,2023-01-01~
피모짓,명인피모짓정4밀리그램,나정,공급중단,2026-02-04,2023-01-01~
니모디핀,삼진니모디핀주10밀리그람(수출명:Moditoplnjection),용액주사제,공급부족,2026-02-03,2023-01-01~
시스플라틴,"유니스틴주사액0.5mg/ml(시스플라틴)(수출명:Newplatin Inj. 0.5mg/ml, Cytosplat Inj. 0.5mg/ml, Nextin Inj. 0.5mg/ml, KU Cisplatin Inj. 0.5mg/ml",용액주사제,공급중단,2026-02-03,2023-01-01~
시스플라틴,"유니스틴주사액1mg/mL(시스플라틴)(수출명: Newplatin Inj.1mg/mL, Cytosplat Inj.1mg/mL, Nextin Inj.1mg/mL, Kupunistin Inj.1mg/mL, KU Cisplatin Inj.50mg/50mL)",용액주사제,공급중단,2026-02-03,2023-01-01~
이소소르비드이질산염지속과립,부광이소맥지속성캡슐(이소소르비드이질산염지속과립),"서방성캡슐제, 펠렛",공급중단,2026-02-02,2023-01-01~
포스페니토인나트륨,쎄레빅스주사(포스페니토인나트륨),용액주사제,공급중단,2026-01-30,2023-01-01~
포스페니토인나트륨,쎄레빅스주사(포스페니토인나트륨),용액주사제,공급중단,2026-01-30,2023-01-01~
폴리사카리드철착염,헤모니아캡슐(폴리사카리드철착염),"경질캡슐제, 산제",공급중단,2026-01-30,2023-01-01~
플루바스타틴나트륨,레스콜엑스엘서방정(플루바스타틴나트륨),서방성필름코팅정,공급중단,2026-01-29,2023-01-01~
"바실루스리케니포르미스균,판토텐산칼슘",비스칸비산,산제,공급중단,2026-01-28,2023-01-01~
할로페리돌데카노에이트,할돌데카노아스주사(할로페리돌데카노에이트),용액주사제,공급부족,2026-01-28,2023-01-01~
탈라조파립토실산염,탈제나캡슐1밀리그램(탈라조파립토실산염),"경질캡슐제, 산제",공급중단,2026-01-28,2023-01-01~
"인유두종바이러스-16 L1 (숙주: Trichoplusia ni Hi-5 Rix4446, 벡터: rBaculo4449),인유두종바이러스-18 L1 (숙주: Trichoplusia ni Hi-5 Rix4446, 벡터: rBaculo4450)",서바릭스프리필드시린지[인유두종바이러스백신(유전자재조합)],현탁액주사제,공급중단,2026-01-23,2023-01-01~
탄산수소나트륨,대원탄산수소나트륨주사액(8.4%),용액주사제,공급부족,2026-01-22,2023-01-01~
