물품코드,물품명,usage_qty,usage_value,unit_price,transactions,value_share,cumulative_share,abc_class,ved_class,rank
W647603230,헤모퀸골드엠캡슐(1캡슐)(경남제약(주))-1캡슐,535258.0,5404250.0,0.0,2023,0.0014490537758686667,0.4885152050174097,A,,108
WMD0316787,베아제정(대웅제약)-1정(보훈급여),532370.0,10749027.0,0.0,22372,0.0014412353643648522,0.48995644038177455,A,,109
W621802860,파비스파모티딘정(파모티딘)_(20mg/1정)((주)한국파비스제약)-1정,532035.0,0.0,0.0,20585,0.0014403284502880595,0.4913967688320626,A,,110
WA16600571,로프민캅셀(영일제약)-1캡슐,520503.0,1564571.0,0.0,33893,0.0014091089483967893,0.4928058777804594,A,,111
W679601100,피나리정(피나스테리드)_(5mg/1정)((주)서흥)-1정,518183.0,0.0,0.0,3159,0.0014028282300142237,0.4942087060104736,A,,112
W073100220,코자정(로사르탄칼륨)_(50mg/1정)(한국오가논(주))-1정,516331.0,46978590.0,0.0,9969,0.0013978144841329688,0.4956065204946066,A,,113
WA11800461,삼남로페라마이드캅셀(삼남제약)-1캅셀,510696.5,224040.0,0.0,27903,0.0013825607308025523,0.49698908122540914,A,,114
W679601350,스티원정(애엽95%에탄올연조엑스(20→1))_(60mg/1정)((주)서흥)-1정,505949.0,0.0,0.0,14508,0.0013697082693709876,0.49835878949478013,A,,115
WA07404061,아마릴정2mg(한독약품)-1정,499373.0,4410.0,0.0,9468,0.0013519056814038533,0.499710695176184,A,,116
W699800760,이부펜정400mg(이부프로펜)(제이에스제약(주))-1정,496667.4,1240372.0,0.0,16670,0.001344581064310806,0.5010552762404948,A,,117
WW24260621,부스코판당의정(한국베링거인겔하임)-1정,489924.5,360.0,0.0,30252,0.001326326643628995,0.5023816028841238,A,,118
USE0000809,1.바로코민(정),486220.0,0.0,,397,0.0013162977982633854,0.5036979006823872,A,,119
WMD0327671,헤모퀸골드엠캡슐(경남제약),484037.0,349210.0,0.0,14137,0.0013103879671301352,0.5050082886495173,A,,120
W648602690,씨엠지암로디핀정5mg(암로디핀베실산염)((주)씨엠지제약)-1정,481937.0,9415.5,0.0,17021,0.0013047028341114334,0.5063129914836287,A,,121
W053600780,뉴슈바틴정10밀리그램(로수바스타틴칼슘)_(10.4mg/1정)(안국뉴팜(주))-1정,476737.0,0.0,0.0,1309,0.0012906253618746484,0.5076036168455034,A,,122
W669700210,로잘핀정(로사르탄칼륨)(에스피씨(주))-1정,472755.0,0.0,0.0,1307,0.0012798452667887104,0.5088834621122921,A,,123
USE0001003,영양제(바로코민),472179.0,0.0,,297,0.0012782859160178665,0.5101617480283099,A,,124
WA23054331,레프로진정(위더스제약)-1정,469821.5,0.0,0.0,14236,0.0012719036774028242,0.5114336517057128,A,,125
W656004410,암로텔미정40/5밀리그램_(1정)(알리코제약(주))-1정,469552.5,0.0,0.0,1391,0.0012711754389351903,0.5127048271446479,A,,126
WA20750081,신일폴산정(신일제약)-1정,466015.0,68.0,0.0,4118,0.0012615986970048775,0.5139664258416529,A,,127
WA21452301,써스펜8시간이알서방정650밀리그램(아세트아미노펜)_(0.65g/1정)(한미약품(주))-1정,464527.0,3694723.8,0.0,19043,0.0012575703741801974,0.515223996215833,A,,128
WA23003831,손페리정(위더스제약)-1정,462997.0,0.0,0.0,13272,0.0012534283486951435,0.5164774245645282,A,,129
W649101090,티티아민정(1정)(한국휴텍스제약(주))-1정,455112.5,4028930.8,0.0,13353,0.0012320833814161182,0.5177095079459443,A,,130
W621802320,암로비스정(암로디핀베실산염)((주)한국파비스제약)-1정,454089.5,162105.0,0.0,12097,0.0012293139094741506,0.5189388218554184,A,,131
WA00801741,휴텍스파모티딘정10mg(한국휴텍스제약)-1정,449210.5,210000.0,0.0,16052,0.0012161054504273672,0.5201549273058458,A,,132
WMD0326399,고려은단비타민씨,447410.5,132836799.0,0.0,13415,0.0012112324792684802,0.5213661597851142,A,,133
WMD0317950,베스타제당의정(동아제약) - 1정,443497.0,6587.363999999999,0.0,16445,0.0012006378278071998,0.5225667976129215,A,,134
W642101071,알마겔에프현탁액(알마게이트)((주)유한양행)-15mL/포,443104.0,1147945.76,0.0,13849,0.0011995738957708427,0.5237663715086923,A,,135
WA02002381,릴렉시아정(클로르페네신카르바메이트)_(0.125g/1정),440321.5,1291251.0,0.0,17196,0.001192041094521063,0.5249584126032134,A,,136
W693202110,뉴아딘정(암로디핀베실산염)_(6.944mg/1정)((주)한국글로벌제약)-1정,438640.5,0.0,0.0,6997,0.0011874902808999023,0.5261459028841133,A,,137
W648603070,유티린정60mg(애엽95%에탄올연조엑스(20→1))((주)씨엠지제약)-1정,436343.0,0.0,0.0,10979,0.0011812704746568229,0.5273271733587701,A,,138
WA23054671,레티라진정(위더스제약)-1정,430210.5,0.0,0.0,20453,0.0011646685326391142,0.5284918418914092,A,,139
WA10901231,케토크린플라스타(케토프로펜)_10X7㎠(신신제약(주))-1매,427369.2,22802368.0,0.0,36309,0.001156976547664811,0.529648818439074,A,,140
W646201950,테라젠정2mg(염산테라조신)((주)뉴젠팜)-1정,421735.0,0.0,0.0,1293,0.0011417236064962546,0.5307905420455702,A,,141
W661904100,노바크정5밀리그램(암로디핀베실산염)-1정,420532.0,0.0,0.0,8875,0.0011384668374383982,0.5319290088830085,A,,142
W647601750,경남비타민씨정(1031g/1정)(경남제약(주))-1정,418884.5,354200.0,0.0,16080,0.0011340067152249167,0.5330630155982334,A,,143
W625200500,바사탄정80밀리그램(발사르탄)_(80mg/1정)((주)화이트생명과학)-1정,417564.0,0.0,0.0,2813,0.0011304318494386332,0.534193447447672,A,,144
W644802781,파티겔현탁액(알마게이트)(수출명:알마게인현탁액호메젤현탁액)(태극제약(주))-15mL/포,417197.0,1539132.5,0.0,17212,0.00112943830476346,0.5353228857524355,A,,145
WA30650041,현대테놀민정25mg(현대약품공업)-1정,415479.0,0.0,0.0,11985,0.0011247873245129223,0.5364476730769484,A,,146
W646203620,노바젠정5밀리그램(암로디핀베실산염)((주)뉴젠팜)-1정,414140.5,0.0,0.0,3959,0.0011211637290150498,0.5375688368059635,A,,147
W653501280,트윈스타정80/5밀리그램_(1정)(한국베링거인겔하임(주))-1정,412750.0,0.0,0.0,3640,0.0011173993587948097,0.5386862361647583,A,,148
WA21407731,아모잘탄정5/50mg(한미약품)-1정,412117.5,38838.0,0.0,3893,0.0011156870508737006,0.539801923215632,A,,149
W656004780,콜리아틴정(콜린알포세레이트)_(0.4g/1정)(알리코제약(주))-1정,411931.0,0.0,0.0,1011,0.001115182156917516,0.5409171053725496,A,,150
WA00305131,로이솔정(신풍제약)-1정,410417.5,540.0,0.0,15395,0.0011110848003347516,0.5420281901728843,A,,151
W669604340,테로핀정2밀리그램(테라조신염산염수화물)((주)아이월드제약)-1정,406016.0,0.0,0.0,1153,0.001099169032248173,0.5431273592051324,A,,152
W622804550,메모엠연질캡슐(콜린알포세레이트)_(0.4g/1캡슐)((주)마더스제약)-1캡슐,405427.0,0.0,0.0,1509,0.0010975744877967373,0.5442249336929291,A,,153
W642002540,레보투스정(레보드로프로피진)_(60mg/1정)(현대약품(주))-1정,398286.5,2860.8,0.0,15976,0.001078243681930052,0.5453031773748592,A,,154
W622802770,렘피드캡슐(에르도스테인)_(0.3g/1캡슐)((주)마더스제약)-1캡슐,394137.0,0.0,0.0,9381,0.0010670101298057174,0.5463701875046649,A,,155
W653805230,마미센스(철분제),393366.0,0.0,0.0,426,0.001064922873825994,0.5474351103784909,A,,156
W649001240,파티스렌정(애엽95%에탄올연조엑스(20→1))(풍림무약(주))-1정,391431.0,2956.38,0.0,12360,0.0010596844298301905,0.5484947948083211,A,,157
W648602730,텔미로탄정40mg(텔미사르탄)((주)씨엠지제약)-1정,390148.0,10260.0,0.0,12418,0.0010562110842763837,0.5495510058925974,A,,158
WA04301741,우루사정(대웅제약)-1정,389722.0,0.0,0.0,12399,0.0010550578144354471,0.5506060637070329,A,,159
W664901250,탐스롤서방정(탐스로신염산염)_(0.2mg/1정)(성원애드콕제약(주))-1정,384159.0,0.0,0.0,2328,0.0010399976263482866,0.5516460613333812,A,,160
WA10705001,베스디핀정(진양제약)-1정,374319.5,0.0,0.0,5326,0.00101336007094947,0.5526594214043307,A,,161
W689001230,듀크포지정5/80밀리그램_(1정)((주)시어스제약)-1정,372243.5,0.0,0.0,3428,0.0010077399108795535,0.5536671613152102,A,,162
WA01504611,동아가스터정20밀리그램(파모티딘)_(20mg/1정)(동아에스티(주))-1정,371198.5,0.0,0.0,10004,0.0010049108804011996,0.5546720721956114,A,,163
W698002340,씨메트정(시메티딘)(콜마파마(주))-1정,370335.5,270450.0,0.0,10461,0.0010025745614511332,0.5556746467570626,A,,164
WF03300021,코데날정(삼아제약)-1정,367318.5,0.0,0.0,8698,0.0009944069203475985,0.5566690536774102,A,,165
W654304830,게이트정(알마게이트)(오스틴제약(주))-1정,362300.0,1397070.0,0.0,8643,0.0009808208060360013,0.5576498744834462,A,,166
W669501610,아드정(암로디핀베실산염)((주)씨티씨바이오)-1정,361363.6,146136468.2,312.0,10353,0.0009782857781509002,0.558628160261597,A,,167
W693901770,셀미살탄정40밀리그램(텔미사르탄)((주)셀트리온제약)-1정,356870.5,559800.0,0.0,3700,0.0009661220299764582,0.5595942822915735,A,,168
WA04551261,암로핀정5mg(유한양행)-1정,355836.5,0.0,0.0,2267,0.0009633227787662974,0.5605576050703398,A,,169
W648602640,씨엠지아스피린장용정100mg((주)씨엠지제약)-1정,355712.0,12092374.0,0.0,12890,0.0009629857315944744,0.5615205908019343,A,,170
WA09303211,보령아스트릭스캅셀100mg(보령제약)-1캅셀,355094.0,26370.0,0.0,8519,0.0009613126781632565,0.5624819034800975,A,,171
WA37803931,로디엔정2.5mg(한림제약)-1정,352433.0,0.0,0.0,2255,0.0009541088024667018,0.5634360122825642,A,,172
W055100860,피오투정(피오글리타존염산염)_(16.53mg/1정)(코스맥스파마(주))-1정,352348.0,0.0,0.0,2738,0.0009538786899397543,0.564389890972504,A,,173
USE0001051,"(암)삐콤정(1,000T)",352198.0,0.0,,416,0.000953472609009847,0.5653433635815138,A,,174
WA08651641,프레나정(태극제약)-1정,351473.5,5495650.5,0.0,18432,0.000951511238118395,0.5662948748196323,A,,175
W689000430,아르테크정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정)((주)시어스제약)-1정,349567.5,0.0,0.0,5887,0.0009463513031023734,0.5672412261227346,A,,176
W621802380,에이스린장용정(아스피린)((주)한국파비스제약)-1정,345628.0,0.0,0.0,8941,0.0009356862642799091,0.5681769123870145,A,,177
WA13102911,타세놀8시간이알서방정(아세트아미노펜)_(0.65g/1정)(부광약품(주))-1정,343130.0,0.0,0.0,12890,0.0009289236631938535,0.5691058360502084,A,,178
WA13356281,올펜정(뉴젠팜)-1정,340949.0,0.0,0.0,2177,0.0009230192464730019,0.5700288552966813,A,,179
W698502210,에페시나정(에페리손염산염)_(50mg/1정)((주)테라젠이텍스)-1정,335970.0,388584.0,0.0,6427,0.0009095400668062803,0.5709383953634877,A,,180
WA21403401,엑소페린정(한미약품)-1정,335665.5,0.0,0.0,8547,0.0009087157225185686,0.5718471110860063,A,,181
WA21401631,암브로콜정(한미약품)-1정,333879.0,8762750.0,0.0,15722,0.0009038792986433731,0.5727509903846496,A,,182
