rank,물품코드,물품명,usage_qty,unit_price,value_share,cumulative_share,abc_class,ved_class
45,WA02002631,릴렉시아정250밀리그램(클로르페네신카르바메이트)_(0.25g/1정),1129389.5,0.0,0.0030574902559166338,0.3592011336389004,A,
46,WA18450111,한국넬슨파모티딘정 20mg(한국넬슨제약)-1정,1127050.0,0.0,0.0030511567470131802,0.36225229038591356,A,
47,W670402001,드로니즈시럽(레보드로프로피진)_(3g/500mL)((주)휴온스메디텍)-500(1)mL/병,1074951.0,0.0,0.0029101140112315913,0.36516240439714515,A,
48,W658501910,코사로탄정50mg(로사르탄칼륨)(익수제약(주))-1정,1069040.5,0.0,0.002894113068990146,0.36805651746613527,A,
49,W653501270,트윈스타정40/5밀리그램_(1정)(한국베링거인겔하임(주))-1정,1064493.0,0.0,0.002881802048798457,0.3709383195149337,A,
50,WF00200021,코푸정(유한양행)-1정,1060053.5,0.0,0.002869783406876302,0.37380810292181005,A,
51,W625500260,셀티스파모티딘정20밀리그램(파모티딘)_(20mg/1정)((주)텔콘알에프제약)-1정,1038337.5,0.0,0.0028109937170505287,0.37661909663886056,A,
52,WMD0316802,판크론정(영진약품공업)-1정(보훈급여),1011722.0,0.0,0.002738940070450884,0.37935803670931145,A,
53,W644806170,뮤코로솔정(암브록솔염산염)_(30mg/1정)(태극제약(주))-1정,995759.0,0.0,0.0026957249378901536,0.3820537616472016,A,
54,USE0001249,삐콤,968540.0,0.0,0.002622037492349182,0.3846757991395508,A,
55,WA11850541,메트파민정(삼남제약)-1정,944158.0,0.0,0.0025560303907958565,0.3872318295303467,A,
56,WA08602971,태극에페리손정(태극제약)-1정,941483.5,0.0,0.0025487899678156103,0.3897806194981623,A,
57,WA04302371,다이아벡스정500mg(대웅제약)-1정,938838.5,0.0,0.0025416294074182455,0.39232224890558054,A,
58,W684501550,텔미르핀정40/5밀리그램_(1정)(화일약품(주))-1정,912083.0,0.0,0.002469196751950688,0.3947914456575312,A,
59,W073400340,리피토정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정)(비아트리스코리아(주))-1정,911998.5,0.0,0.00246896799302684,0.39726041365055803,A,
60,WMD0326559,임산부엽산제,900702.0,0.0,0.0024383860381955243,0.39969879968875355,A,
