standard_item_key,item_names,materials,material_count,rows
NAME::ITEM_edfaa162019f468b7ac5,파티겔현탁액(알마게이트)(수출명:알마게인현탁액호메젤현탁액)(태극제약(주))-15mL/포 | 파티겔현탁액(알마게이트)15mL/포,ALUMINUM_HYDROXIDE_MINERAL | MAGNESIUM_HYDROXIDE_MINERAL,2,1032
NAME::ITEM_9b0c32f5f44c435f6b14,파티겔현탁액(알마게이트)(수출명:알마게인현탁액호메젤현탁액)(태극제약(주))-15mL/포 | 파티겔현탁액(알마게이트)15mL/포,ALUMINUM_HYDROXIDE_MINERAL | MAGNESIUM_HYDROXIDE_MINERAL,2,1032
NAME::ITEM_d76c5a61f51cb9e174ab,판크론정(영진약품공업)-1정(보훈급여),MICROBIAL_FUNGAL_ENZYME | PANCREATIN_ANIMAL_ENZYME,2,1008
NAME::ITEM_68439608931843412ea3,덱사메타손포스페이트이나트륨주사_(5mg/1mL)((주)휴메딕스)-1mL/앰플 | 휴메딕스덱사메타손포스페이트이나트륨주사((주)휴메딕스)-1mL/앰플 | 휴메딕스덱사메타손포스페이트이나트륨주사_(5mg/1mL)((주)휴메딕스)-1mL/앰플,DEXAMETHASONE | PARAFFIN_PETROLEUM,2,864
NAME::ITEM_c3b5d24e47b17c035b3d,덱사메타손포스페이트이나트륨주사_(5mg/1mL)((주)휴메딕스)-1mL/앰플 | 휴메딕스덱사메타손포스페이트이나트륨주사((주)휴메딕스)-1mL/앰플 | 휴메딕스덱사메타손포스페이트이나트륨주사_(5mg/1mL)((주)휴메딕스)-1mL/앰플,DEXAMETHASONE | PARAFFIN_PETROLEUM,2,864
NAME::ITEM_6ebe354d94117b0ca6be,덱사메타손포스페이트이나트륨주사_(5mg/1mL)((주)휴메딕스)-1mL/앰플 | 휴메딕스덱사메타손포스페이트이나트륨주사((주)휴메딕스)-1mL/앰플 | 휴메딕스덱사메타손포스페이트이나트륨주사_(5mg/1mL)((주)휴메딕스)-1mL/앰플,DEXAMETHASONE | PARAFFIN_PETROLEUM,2,864
NAME::ITEM_ab625725f61a97821a91,신플랙스정(나프록센)((주)한국피엠지제약)-1정 | 신플랙스정(나프록센)_(0.5g/1정)((주)한국피엠지제약)-1정,ALUMINUM | NAPROXEN | POLYPROPYLENE_PP,3,837
NAME::ITEM_9420b43622cd54d3e476,신플랙스정(나프록센)((주)한국피엠지제약)-1정 | 신플랙스정(나프록센)_(0.5g/1정)((주)한국피엠지제약)-1정,ALUMINUM | NAPROXEN | POLYPROPYLENE_PP,3,837
NAME::ITEM_88346dd222b39e4fedec,베아로반연고(무피로신)_(0.2g/10g)(한올바이오파마(주))-10g/개,MUPIROCIN | PARAFFIN_PETROLEUM,2,768
NAME::ITEM_7ad216d510518ff1ea43,(이동)아니스펜8시간이알서방정(아세트아미노펜)_(0.65g/1정)((주)제뉴파마)-1정 | 아니스펜8시간이알서방정(아세트아미노펜)_(0.65g/1정)((주)제뉴파마)-1정 | 아니스펜이알서방정(아세트아미노펜)_(0.65g/1정)(콜마파마(주))-1정,ACETAMINOPHEN | ALUMINUM | POLYPROPYLENE_PP,3,765
NAME::ITEM_68fbd010cf48862da481,씨엠지아스피린장용정100mg((주)씨엠지제약)-1정 | 아스피린장용정100mg((주)씨엠지제약)-1정,ALUMINUM | ASPIRIN | POLYPROPYLENE_PP,3,744
NAME::ITEM_f27342e2213e4d851e15,아니스펜8시간이알서방정(아세트아미노펜)_(0.65g/1정)((주)제뉴파마)-1정 | 아니스펜이알서방정(아세트아미노펜)_(0.65g/1정)(콜마파마(주))-1정,ACETAMINOPHEN | ALUMINUM | POLYPROPYLENE_PP,3,744
NAME::ITEM_4a4f4c71719dc27dd785,씨엠지아스피린장용정100mg((주)씨엠지제약)-1정 | 아스피린장용정100mg((주)씨엠지제약)-1정,ALUMINUM | ASPIRIN | POLYPROPYLENE_PP,3,744
NAME::ITEM_2a2d3bdd50bfdebcc68f,타이레놀8시간이알서방정(아세트아미노펜)_(0.65g/1정)(한국존슨앤드존슨판매(유))-1정,ACETAMINOPHEN | ALUMINUM | POLYPROPYLENE_PP,3,690
NAME::ITEM_969bbe71afc7d66f8fea,다이제스토정(1정)(화일약품(주))-1정,MICROBIAL_FUNGAL_ENZYME | PANCREATIN_ANIMAL_ENZYME,2,676
NAME::ITEM_add25c322b91e6ca700c,알마겔에프현탁액(알마게이트)((주)유한양행)-15mL/포 | 알마겔에프현탁액(유한양행)-15mL,ALUMINUM_HYDROXIDE_MINERAL | MAGNESIUM_HYDROXIDE_MINERAL,2,672
NAME::ITEM_84a352736a00ce1c132c,알마겔에프현탁액(알마게이트)((주)유한양행)-15mL/포 | 알마겔에프현탁액(유한양행)-15mL,ALUMINUM_HYDROXIDE_MINERAL | MAGNESIUM_HYDROXIDE_MINERAL,2,672
NAME::ITEM_7114f35931fe71c47b5e,스타빅현탁액(20ml/포) | 스타빅현탁액(대웅제약)-20mL/포 | 스타빅현탁액(디옥타헤드랄스멕타이트)_(3g/20mL)((주)대웅제약)-20mL/포,ALUMINUM | DIOCTAHEDRAL_SMECTITE | PHARMA_API_GENERIC | POLYPROPYLENE_PP,4,640
NAME::ITEM_3517ef3fa73af1e2d70b,스타빅현탁액(20ml/포) | 스타빅현탁액(대웅제약)-20mL/포 | 스타빅현탁액(디옥타헤드랄스멕타이트)_(3g/20mL)((주)대웅제약)-20mL/포,ALUMINUM | DIOCTAHEDRAL_SMECTITE | PHARMA_API_GENERIC | POLYPROPYLENE_PP,4,640
NAME::ITEM_fe0dac0ba6ab795e1584,스타빅현탁액(20ml/포) | 스타빅현탁액(대웅제약)-20mL/포 | 스타빅현탁액(디옥타헤드랄스멕타이트)_(3g/20mL)((주)대웅제약)-20mL/포,ALUMINUM | DIOCTAHEDRAL_SMECTITE | PHARMA_API_GENERIC | POLYPROPYLENE_PP,4,640
NAME::ITEM_2ae7c5e9cc6477c01d42,스타빅현탁액(20ml/포) | 스타빅현탁액(대웅제약)-20mL/포 | 스타빅현탁액(디옥타헤드랄스멕타이트)_(3g/20mL)((주)대웅제약)-20mL/포,ALUMINUM | DIOCTAHEDRAL_SMECTITE | PHARMA_API_GENERIC | POLYPROPYLENE_PP,4,640
NAME::ITEM_8a9a4d8c995874d26613,성광칼라민로오션 | 성광칼라민로오션-100mL | 칼라민로오션(성광제약),CALAMINE | MATERIAL_UNSPECIFIED | PARAFFIN_PETROLEUM,3,619
NAME::ITEM_df8041d194fb047f3f40,성광칼라민로오션 | 성광칼라민로오션-100mL | 칼라민로오션(성광제약),CALAMINE | MATERIAL_UNSPECIFIED | PARAFFIN_PETROLEUM,3,619
NAME::ITEM_5d4fab03e58339ece085,성광칼라민로오션 | 성광칼라민로오션-100mL | 칼라민로오션(성광제약),CALAMINE | MATERIAL_UNSPECIFIED | PARAFFIN_PETROLEUM,3,619
NAME::ITEM_cbc2e864149dcc7fb8f9,베스타제정(무당)(동아제약)-1정(보훈급여),MICROBIAL_FUNGAL_ENZYME | PANCREATIN_ANIMAL_ENZYME,2,608
NAME::ITEM_a10cca585aa8ed0af4ed,대한생리식염주사액(염화나트륨) 20밀리리터(대한약품공업(주))-20mL/앰플(PP) | 대한생리식염주사액(염화나트륨)_(0.18g/20mL/앰플(PP))(대한약품공업(주))-20mL/앰플(PP) | 생리식염주사액20mL(대한약품)-20mL/앰플(PP),GLUCOSE_CORNSTARCH | SODIUM_CHLORIDE,2,588
NAME::ITEM_542be2ff029763c1460c,대한생리식염주사액(염화나트륨) 20밀리리터(대한약품공업(주))-20mL/앰플(PP) | 대한생리식염주사액(염화나트륨)_(0.18g/20mL/앰플(PP))(대한약품공업(주))-20mL/앰플(PP) | 생리식염주사액20mL(대한약품)-20mL/앰플(PP),GLUCOSE_CORNSTARCH | SODIUM_CHLORIDE,2,588
