rprsntDtilPrdctClsfcNo,rprsntDtilPrdctClsfcNoNm,n,mean,p25,median,p75,p90
4014178201,철근콘크리트벤치플룸관,9,163.7,30.0,146.0,258.0,324.2
3023169901,컨테이너하우스,9,74.8,30.0,30.0,74.0,129.00000000000006
4322250101,방화벽장치,9,140.3,30.0,161.0,200.0,281.20000000000005
3912100402,전원공급장치,9,79.9,60.0,60.0,60.0,109.00000000000003
3015180212,타일단열패널,8,148.0,98.0,113.0,209.25,241.2
3015159901,특수지붕재,8,202.0,180.0,180.0,198.25,265.3
4920160507,숄더프레스머신,8,59.6,59.75,60.0,60.0,60.3
4810153002,취반기,8,88.0,40.0,40.5,140.25,168.29999999999998
5310180201,남성용외투,8,30.1,30.0,30.0,30.0,30.3
2510150103,중형승합차,8,213.6,210.0,210.0,210.0,219.29999999999998
4512151601,캠코더,8,12.1,12.0,12.0,12.0,12.3
5216151501,CD녹음및플레이어,8,68.9,60.0,60.0,60.25,81.69999999999999
5214155401,김치냉장고,8,30.0,30.0,30.0,30.0,30.0
4010170901,공기조화기,8,186.9,146.5,180.5,235.5,268.5
5216151202,PA용스피커,7,108.0,70.5,85.0,146.0,159.4
4410310301,재제조토너,7,15.0,15.0,15.0,15.0,15.0
4616158501,도로표지병,7,30.0,30.0,30.0,30.0,30.0
4010184001,난방용필름,7,115.0,90.0,91.0,132.5,152.0
4320180301,하드디스크드라이브,7,60.0,60.0,60.0,60.0,60.0
2510150701,다목적승용차,7,204.3,208.0,210.0,210.0,210.0
3011159301,콘크리트기초,7,117.3,86.5,123.0,128.0,168.40000000000003
3012171401,콘크리트맨홀블록,7,64.4,20.5,30.0,76.5,135.40000000000003
3013160202,미장벽돌,7,224.7,209.5,255.0,281.5,303.2
3019189601,덱플레이트,7,172.7,37.5,214.0,292.0,321.2
3018150401,세면기,7,63.4,40.0,40.0,73.0,106.80000000000001
4010171501,항온항습기,7,166.9,75.0,166.0,253.5,275.4
4213161201,일회용격리가운,7,20.0,20.0,20.0,20.0,20.0
4920160304,어덕터,7,60.3,60.0,60.0,60.5,61.0
4712170202,음식물쓰레기처리통,6,35.0,30.0,30.0,30.0,45.0
5612200101,실험대,6,55.8,30.0,30.5,53.5,107.0
5612179801,칠판보조장,6,30.2,30.0,30.0,30.0,30.5
2318160401,식료품절단기,6,40.0,40.0,40.0,40.0,40.0
5612169901,유아용탁자,6,30.0,30.0,30.0,30.0,30.0
4410159901,팩스기기,6,30.0,30.0,30.0,30.0,30.0
