standard_item_key,item_name,raw_material_meta_code,raw_material_risk_meta_code,demand_risk_meta_code,mapping_weight,exposure_score,source_rows,review_status,mapping_version
NAME::ITEM_f714109d049f4ac9a268,그린헥시딘가글액012%(클로르헥시딘글루콘산염액)(15mL/250mL)((주)그린제약)-250mL/병,CHLORHEXIDINE_GLUCONATE_CHEMICAL,AGRI_COMMODITY_PRICE_VOLATILITY;MIDEAST_NAPHTHA_PETROCHEM_SHOCK;RARE_ELEMENT_ORIGIN_CONCENTRATION,INFECTIOUS_DISEASE_OUTBREAK,0.5,0.5,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f7238fecca4ea002c017,자누메트정50/850밀리그램_(1정)((주)종근당)-1정,SITAGLIPTIN_METFORMIN,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f72deb6a082e2cbca445,아토암로정5mg/10mg_(1정)((주)메디카코리아)-1정,AMLODIPINE_ATORVASTATIN,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,15,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f731c86c33708a0e917a,네보트론정(네비보롤염산염)_(5.45mg/1정)(동국제약(주))-1정,NEBIVOLOL,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,2,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f737d5af835ac1a6bf9f,레보케어CR서방정(레보드로프로피진)_(90mg/1정)(광동제약(주))-1정,LEVODROPROPIZINE,API_IMPORT_DEPENDENCY_CN_IN,INFECTIOUS_DISEASE_OUTBREAK;SEASONAL_CLIMATE_PATTERN,0.35,0.35,2,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f738655f6ead470cf80e,안티푸라민조인트플라스타(펠비낙)(10X7cm2/1매)((주)유한양행)-1매,FELBINAC,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,2,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f73dd968158ffba9ce9e,신일피리독신정,PYRIDOXINE_B6,CHINA_VITAMIN_RAWMATERIAL_CONCENTRATION,SEASONAL_CLIMATE_PATTERN;GOV_POLICY_PROGRAM_EXPANSION,0.35,0.35,5,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f748256c02fcbf964ccb,벤포벨정(종근당)-정,THIAMINE_B1,CHINA_VITAMIN_RAWMATERIAL_CONCENTRATION,SEASONAL_CLIMATE_PATTERN;GOV_POLICY_PROGRAM_EXPANSION,0.35,0.35,10,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f74f0680af82def9ca0b,현대에페리손염산염정_(50mg/1정)(현대약품(주))-1정,EPERISONE,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.35,0.35,30,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f7501a9e7cb72b0ad688,탐스민서방정(탐스로신염산염)_(0.2mg/1정)((주)테라젠이텍스)-1정,TAMSULOSIN,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,3,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f755f72f73eb166bd89a,탐수날서방정0.2밀리그램(탐스로신염산염)_(0.2mg/1정)(풍림무약(주))-1정,TAMSULOSIN,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,18,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f765c9920b3a69127bb8,본디업주(동광제약)-mL/앰플,PHARMA_API_GENERIC,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.15,0.15,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f7756ac54fd8878a3340,타이유프로게스테론주(05g/10mL)(제이텍바이오젠)-10mL/병,PHARMA_API_GENERIC,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.15,0.15,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f778779a536024a64052,레보티잘정(레보세티리진염산염)_(5mg/1정)(일양바이오팜(주))-1정,LEVOCETIRIZINE,API_IMPORT_DEPENDENCY_CN_IN,SEASONAL_CLIMATE_PATTERN;INFECTIOUS_DISEASE_OUTBREAK,0.35,0.35,8,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f77cfd571d39fe045f25,리피논정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정)(동아에스티(주))-1정,ATORVASTATIN,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,5,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f77dc3685c7da1ea6126,헤파박스 2ml,MATERIAL_UNSPECIFIED,UNCLASSIFIED_MATERIAL_RISK,NOT_APPLICABLE,0.05,0.05,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f77ef403029bd91531e7,아임마미 철분,IRON_MINERAL_COMPOUND,CHINA_VITAMIN_RAWMATERIAL_CONCENTRATION,SEASONAL_CLIMATE_PATTERN;GOV_POLICY_PROGRAM_EXPANSION,0.5,0.5,43,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f790248f52bce3b20f0f,보령플루백신VIII-TF주(프리필드시린지)(인플루엔자분할백신)(05mL)((주)보령바이오파마)-0.5mL/관,PREFILLED_SYRINGE,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,2,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f7941ac7abbec4ebc41a,진토젯정10/40밀리그램_(1정)(진양제약(주))-1정,ROSUVASTATIN_EZETIMIBE,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,2,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f7b855542f1ddb14a6d1,베로디핀정(암로디핀베실산염)(한국프라임제약(주))-1정,AMLODIPINE,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,250,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f7c7fd615d6f924062b0,코스피손정(에페리손염산염)_(50mg/1정)(코스맥스바이오(주))-1정,EPERISONE,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.35,0.35,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f7ca8c5750dca2607e00,우루사100밀리그램연질캡슐(우르소데옥시콜산)(01g/1캡슐)((주)대웅제약)-1캡슐,URSODEOXYCHOLIC_ACID,MINERAL_RAWMATERIAL_GENERIC;API_IMPORT_DEPENDENCY_CN_IN,LIFESTYLE_CALENDAR_EVENT;SEASONAL_CLIMATE_PATTERN,0.35,0.35,11,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f7d58c4d5efbdcf69cce,후로스판액(플로로글루시놀수화물)_(4g/500mL)(대화제약(주))-500(1)mL/병,PHLOROGLUCINOL,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,5,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f7d883da14c44f302683,오크맥틴정625밀리그램(아목시실린·클라불란산칼륨(4:1))_(1정)((주)알피바이오)-1정,AMOXICILLIN_CLAVULANATE,API_IMPORT_DEPENDENCY_CN_IN,INFECTIOUS_DISEASE_OUTBREAK,0.35,0.35,8,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f7e38bafd48ad95335f2,남녀센티렉스,VITAMIN_SYNTHETIC_RAWMATERIAL,CHINA_VITAMIN_RAWMATERIAL_CONCENTRATION,SEASONAL_CLIMATE_PATTERN;GOV_POLICY_PROGRAM_EXPANSION,0.35,0.35,30,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f7eaf472cbd5d786c688,바스타틴정20밀리그램(아토르바스타틴칼슘)(이연제약(주))-1정,ATORVASTATIN,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,2,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f7f65979cb653261e9e4,녹십자헤파린나트륨주사액((주)녹십자)-5mL/병,PHARMA_API_GENERIC,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.15,0.15,5,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f7fb3dcbadf9e4f1baf7,칼리메르정(칼리디노게나제)(동성제약(주))-1정,KALLIDINOGENASE,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f80984646b1ac41419bf,오구멘틴375mg,AMOXICILLIN_CLAVULANATE,API_IMPORT_DEPENDENCY_CN_IN,INFECTIOUS_DISEASE_OUTBREAK,0.35,0.35,26,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f80ad496e35fb5cf784d,우루사(Ursa)100mg,URSODEOXYCHOLIC_ACID,MINERAL_RAWMATERIAL_GENERIC;API_IMPORT_DEPENDENCY_CN_IN,LIFESTYLE_CALENDAR_EVENT;SEASONAL_CLIMATE_PATTERN,0.35,0.35,5,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f822375f983341d336b1,가바로닌캡슐100mg(가바펜틴)(알리코제약(주))-1캡슐,GABAPENTIN,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,7,pending,material-standard-axis-v1-pending-review
