물품코드,물품명,sample_size,raw_median_days,credibility,review_period_days
O661304540,경방향사평위산(혼합단미엑스산)-2.88g,7,7.0,0.6859185028929208,36.8
O661304540,경방향사평위산(혼합단미엑스산)-8.64g,131,104.0,0.9761164859448312,104.0
O661304550,경방형개연교탕(혼합단미엑스산)-10.32g,23,125.0,0.8776852485244809,122.2
O661304570,경방황련해독탕(혼합단미엑스산)-5.64g,33,91.0,0.9114689132523988,92.0
O661304580,경방회춘양격산(혼합단미엑스산)-8.82g,5,69.0,0.609362685123064,81.9
O661304690,경방갈근탕정(단미엑스혼합제)-12정,15,129.0,0.8239361571668503,124.2
O661304710,경방이진탕정(단미엑스혼합제)-6 정,17,56.0,0.841363653406724,63.3
O661304710,경방이진탕정(단미엑스혼합제)-6정,11,80.0,0.7743591917034056,85.0
O661304720,경방소청룡탕정(단미엑스혼합제)-9 정,10,134.5,0.757272044090506,126.6
O661304730,경방궁하탕정(단미엑스혼합제)-6 정,5,140.0,0.609362685123064,125.2
O661304740,경방평위산정(단미엑스혼합제)-9 정,23,147.0,0.8776852485244809,141.5
O661304750,경방오적산정(단미엑스혼합제)-12 정,58,110.0,0.9476304447654137,109.6
O661304750,경방오적산정(단미엑스혼합제)-12정,13,70.0,0.8022069811890467,76.3
O661304760,경방구미강활탕정(단미엑스혼합제)-12정,7,168.0,0.6859185028929208,147.3
O661304770,경방감초엑스정-1정,72,97.5,0.9573794096857459,97.7
O661304780,경방작약엑스정-1정,91,98.0,0.9659754363139949,98.1
O661304780,경방작약엑스정-2정,5,180.0,0.609362685123064,149.5
O661304790,경방구미강활탕연조엑스(단미엑스혼합제)-30g,181,94.0,0.9825993381835345,94.1
O661304810,경방형개연교탕연조엑스(단미엑스혼합제)-30g,40,157.5,0.9258124704761524,153.4
O661304820,경방삼출건비탕연조엑스(단미엑스혼합제)-30g,86,105.0,0.9640683430154722,104.9
O661304830,경방소청룡탕연조엑스(단미엑스혼합제)-30.00g,166,136.0,0.9810567745849829,135.4
O661304830,경방소청룡탕연조엑스(단미엑스혼합제)-30g,33,145.0,0.9114689132523988,141.2
O661304840,경방반하사심탕연조엑스(단미엑스혼합제)-30.00 g,150,111.0,0.9790784382058983,110.8
O661304840,경방반하사심탕연조엑스(단미엑스혼합제)-30g,25,83.0,0.8863584253658293,85.2
O661304850,경방보중익기탕연조엑스(단미엑스혼합제)-30.00 g,213,92.0,0.9851747662304516,92.1
O661304850,경방보중익기탕연조엑스(단미엑스혼합제)-30g,68,51.5,0.9549851725213799,53.8
O661304870,경방오적산연조엑스(단미엑스혼합제)-30 g,277,96.0,0.988560908396497,96.1
O661304870,경방오적산연조엑스(단미엑스혼합제)-30g,125,57.0,0.9749987389327478,58.1
O661304920,경방궁하탕연조엑스(단미엑스혼합제)-30.00 g,31,69.0,0.9062924580124634,72.1
O661304920,경방궁하탕연조엑스(단미엑스혼합제)-30g,7,57.0,0.6859185028929208,71.1
O661304930,경방평위산연조엑스(단미엑스혼합제)-30.00 g,29,194.0,0.900473070559491,184.8
O661304930,경방평위산연조엑스(단미엑스혼합제)-30g,10,114.0,0.757272044090506,111.1
O661304980,경방팔물탕연조엑스(단미엑스혼합제)-30.00g,198,78.0,0.9840695343446826,78.4
O661304980,경방팔물탕연조엑스(단미엑스혼합제)-30g,52,50.0,0.9419386476841652,53.0
O661304990,경방향사평위산연조엑스(단미엑스혼합제)-30.00g,186,116.5,0.9830591736734987,116.3
O661304990,경방향사평위산연조엑스(단미엑스혼합제)-30g,55,89.0,0.9449312286832277,89.7
O661305000,경방삼소음연조엑스(단미엑스혼합제)-30.00g,88,138.5,0.96485627221121,137.2
O661305000,경방삼소음연조엑스(단미엑스혼합제)-30g,22,72.0,0.8728325080109757,75.8
O661305010,경방갈근탕연조엑스(단미엑스혼합제)-30.00 g,83,186.0,0.9628178981075193,182.9
O661305010,경방갈근탕연조엑스(단미엑스혼합제)-30g,12,144.0,0.7891988132134214,135.1
O661305040,경방연교패독산연조엑스(단미엑스혼합제)-30.0g,77,149.0,0.9600363783329998,147.1
O661305040,경방연교패독산연조엑스(단미엑스혼합제)-30g,19,114.0,0.8556518088714926,112.3
O661305050,경방인삼패독산연조엑스(단미엑스혼합제)-30.00 g,20,207.0,0.8618722942040995,192.5
O661305060,경방자음강화탕연조엑스(단미엑스혼합제)-30.00 g,11,149.0,0.7743591917034056,138.4
O661305060,경방자음강화탕연조엑스(단미엑스혼합제)-30g,99,72.0,0.9686386692911281,72.9
O661305180,경방황련해독탕정(단미엑스혼합제)-6 정,31,26.0,0.9062924580124634,33.1
O661305210,경방소시호탕연조엑스(단미엑스혼합제)-30.00 g,33,133.0,0.9114689132523988,130.3
O661305210,경방소시호탕연조엑스(단미엑스혼합제)-30g,21,63.0,0.8675788022781872,68.2
O661305220,경방불환금정기산연조엑스(단미엑스혼합제)-30.00 g,36,135.0,0.91824333662659,132.3
O661305220,경방불환금정기산연조엑스(단미엑스혼합제)-30g,14,149.0,0.8137030369094728,140.2
O661305260,경방반하백출천마탕연조엑스(단미엑스혼합제)-30.00g,80,93.0,0.9614772826216539,93.3
O661305260,경방반하백출천마탕연조엑스(단미엑스혼합제)-30g,27,77.0,0.8938830384045754,79.7
O661305370,경방가미소요산연조엑스(단미엑스혼합제)-30.00g,115,66.0,0.9728836677531338,67.0
O661305370,경방가미소요산연조엑스(단미엑스혼합제)-30g,35,63.0,0.9161034064033742,66.3
O661306650,경방내소산연조엑스(단미엑스혼합제)-30g,8,193.5,0.713948244582345,167.3
O661306710,경방청상견통탕연조엑스(단미엑스혼합제)-30g,24,131.0,0.8821812393179619,127.6
O661306720,경방행소탕연조엑스(단미엑스혼합제)-30g,47,168.0,0.9361562542690812,163.8
